YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 20 18 00  64  7.5  8.7  1.45  6.25  4.61 999 1023.1   1.7   1.8 999.0 99.0 99.00
2005 04 20 19 00  74  6.4  7.9  1.41  6.25  4.71 999 1023.2   1.8   1.9 999.0 99.0 99.00
2005 04 20 20 00  89  6.3  7.3  1.31  6.25  4.64 999 1023.6   1.9   1.9 999.0 99.0 99.00
2005 04 20 21 00  96  6.0  7.3  1.16  5.88  4.69 999 1023.4   1.6   1.9 999.0 99.0 99.00
2005 04 20 22 00  97  5.7  7.0  1.15  6.25  4.65 999 1023.4   1.6   1.9 999.0 99.0 99.00
2005 04 20 23 00 106  4.2  4.8  1.07  6.25  4.53 999 1023.8   1.6   1.9 999.0 99.0 99.00
2005 04 21 00 00 116  2.5  3.0  0.96  6.67  4.57 999 1024.0   1.7   1.9 999.0 99.0 99.00
2005 04 21 01 00 180  0.1  0.4  0.86  5.88  4.40 999 1024.2   1.5   1.8 999.0 99.0 99.00
2005 04 21 02 00 313  1.1  1.4  0.83  5.88  4.56 999 1024.5   1.2   1.7 999.0 99.0 99.00
2005 04 21 03 00 326  1.4  1.8  0.85  5.56  4.70 999 1024.9   1.1   1.7 999.0 99.0 99.00
2005 04 21 04 00 340  2.6  3.1  0.77  5.88  4.62 999 1024.6   1.2   1.6 999.0 99.0 99.00
2005 04 21 05 00 332  3.4  3.9  0.64  5.88  4.58 999 1024.8   1.3   1.7 999.0 99.0 99.00
2005 04 21 06 00 344  3.6  4.2  0.60  5.56  4.56 999 1024.6   1.3   1.7 999.0 99.0 99.00
2005 04 21 07 00  11  2.6  3.6  0.55  5.26  4.49 999 1024.4   1.4   1.7 999.0 99.0 99.00
2005 04 21 08 00 353  2.0  2.6  0.46  5.26  4.32 999 1024.3   1.4   1.7 999.0 99.0 99.00
2005 04 21 09 00  71  1.0  1.2  0.39  5.00  4.20 999 1023.7   1.2   1.6 999.0 99.0 99.00
2005 04 21 10 00 122  0.8  1.0  0.31  5.00  3.99 999 1023.4   0.8   1.4 999.0 99.0 99.00
2005 04 21 11 00 141  1.0  1.2  0.31  4.76  4.01 999 1023.2   0.3   0.9 999.0 99.0 99.00
2005 04 21 12 00 208  2.2  2.6  0.26  4.76  4.00 999 1024.1   0.9   1.4 999.0 99.0 99.00
2005 04 21 13 00 226  1.3  1.6  0.23  4.35  4.00 999 1024.4   1.4   1.6 999.0 99.0 99.00
2005 04 21 14 00 248  0.4  0.7  0.18  4.35  3.85 999 1023.7   1.6   1.7 999.0 99.0 99.00
2005 04 21 15 00 358  1.1  1.6  0.18  4.35  3.87 999 1023.2   1.4   1.9 999.0 99.0 99.00
2005 04 21 16 00  20  0.8  1.1  0.00  0.00  0.00 999 1022.9   1.6   1.9 999.0 99.0 99.00
2005 04 21 17 00  26  1.3  1.7  0.00  0.00  0.00 999 1021.9   1.7   2.0 999.0 99.0 99.00
2005 04 21 18 00 232  0.4  0.5  0.00  0.00  0.00 999 1021.4   2.4   2.0 999.0 99.0 99.00
2005 04 21 19 00 180  0.1  0.4  0.00  0.00  0.00 999 1020.3   2.6   2.1 999.0 99.0 99.00
2005 04 21 20 00 324  0.1  0.4  0.00  0.00  0.00 999 1019.3   3.4   2.1 999.0 99.0 99.00
2005 04 21 21 00 287  1.1  1.4  0.00  0.00  0.00 999 1018.4   2.7   2.2 999.0 99.0 99.00
2005 04 21 22 00 221  1.1  1.4  0.00  0.00  0.00 999 1017.2   2.5   2.2 999.0 99.0 99.00
2005 04 21 23 00 274  1.5  1.8  0.00  0.00  0.00 999 1016.7   2.6   2.2 999.0 99.0 99.00
2005 04 22 00 00 306  0.4  0.7  0.00  0.00  0.00 999 1016.1   3.0   2.1 999.0 99.0 99.00
2005 04 22 01 00  61  1.4  1.6  0.00  0.00  0.00 999 1015.5   1.7   2.1 999.0 99.0 99.00
2005 04 22 02 00  83  1.4  1.7  0.00  0.00  0.00 999 1015.0   1.4   1.9 999.0 99.0 99.00
2005 04 22 03 00 141  1.1  1.4  0.00  0.00  0.00 999 1014.9   1.3   1.7 999.0 99.0 99.00
2005 04 22 04 00 125  2.0  2.2  0.00  0.00  0.00 999 1014.4   1.3   1.7 999.0 99.0 99.00
2005 04 22 05 00 176  1.7  2.0  0.00  0.00  0.00 999 1013.8   1.9   1.8 999.0 99.0 99.00
2005 04 22 06 00 177  2.8  3.1  0.00  0.00  0.00 999 1013.1   2.2   1.8 999.0 99.0 99.00
2005 04 22 07 00 278  0.8  1.2  0.00  0.00  0.00 999 1012.7   2.8   1.8 999.0 99.0 99.00
2005 04 22 08 00 275  0.4  0.7  0.00  0.00  0.00 999 1012.2   2.4   1.8 999.0 99.0 99.00
2005 04 22 09 00  17  5.5  6.9  0.00  0.00  0.00 999 1013.2   2.6   1.8 999.0 99.0 99.00
2005 04 22 10 00  40  5.1  6.1  0.00  0.00  0.00 999 1013.7   3.0   1.8 999.0 99.0 99.00
2005 04 22 11 00  46 10.4 11.8  0.43  2.94  2.82 999 1013.8   3.3   1.8 999.0 99.0 99.00
2005 04 22 12 00  37 12.4 15.6  0.95  4.00  3.54 999 1014.8   3.2   1.8 999.0 99.0 99.00
2005 04 22 13 00  30 12.0 15.1  1.40  4.76  4.07 999 1015.9   2.0   1.8 999.0 99.0 99.00
2005 04 22 14 00  33 12.3 15.2  1.70  5.26  4.45 999 1016.6   2.0   1.8 999.0 99.0 99.00
2005 04 22 15 00  39 11.9 14.8  1.92  5.56  4.70 999 1017.7   2.0   1.8 999.0 99.0 99.00
2005 04 22 16 00  43 12.2 14.8  2.17  5.88  4.99 999 1018.7   1.6   1.8 999.0 99.0 99.00
2005 04 22 17 00  43 12.7 15.3  2.59  6.25  5.32 999 1019.3   1.6   1.8 999.0 99.0 99.00
2005 04 22 18 00  44 12.2 15.1  2.53  6.67  5.32 999 1020.0   1.6   1.8 999.0 99.0 99.00
2005 04 22 19 00  48 11.5 13.6  2.16  6.67  5.22 999 1020.5   1.7   1.9 999.0 99.0 99.00
2005 04 22 20 00  58 11.5 13.5  2.31  6.25  5.25 999 1020.6   1.9   2.0 999.0 99.0 99.00
2005 04 22 21 00  60 10.5 12.7  2.15  6.67  5.18 999 1020.7   2.5   2.4 999.0 99.0 99.00
2005 04 22 22 00  53  9.4 11.3  2.11  6.25  5.11 999 1020.7   2.2   1.9 999.0 99.0 99.00
2005 04 22 23 00  48  8.1  9.8  1.82  6.67  4.99 999 1021.1   2.3   1.9 999.0 99.0 99.00
2005 04 23 00 00  38  6.4  8.0  1.89  6.25  5.21 999 1021.6   2.4   1.9 999.0 99.0 99.00
2005 04 23 01 00  41  7.8  9.4  1.62  7.69  5.20 999 1021.8   2.4   1.9 999.0 99.0 99.00
2005 04 23 02 00  43 10.4 12.5  1.73  5.88  5.05 999 1022.2   2.4   1.9 999.0 99.0 99.00
2005 04 23 03 00  29  9.8 12.4  1.85  7.14  5.17 999 1022.7   2.2   1.9 999.0 99.0 99.00
2005 04 23 04 00  31 10.2 12.1  1.95  6.67  5.06 999 1022.6   2.1   1.9 999.0 99.0 99.00
2005 04 23 05 00  30 11.4 13.4  1.95  7.14  4.97 999 1022.6   1.8   1.8 999.0 99.0 99.00
2005 04 23 06 00  36 11.3 14.2  2.15  6.67  5.04 999 1022.9   1.5   1.8 999.0 99.0 99.00
2005 04 23 07 00  37 12.1 15.2  2.25  6.67  5.15 999 1022.8   1.0   1.8 999.0 99.0 99.00
2005 04 23 08 00  32 11.3 13.7  2.12  6.67  4.99 999 1022.6   0.6   1.8 999.0 99.0 99.00
2005 04 23 09 00  36 11.3 13.0  2.16  6.67  5.10 999 1022.8   0.3   1.8 999.0 99.0 99.00
2005 04 23 10 00  29 10.2 13.2  2.15  6.67  5.04 999 1023.0   0.1   1.8 999.0 99.0 99.00
2005 04 23 11 00  23 10.2 12.2  2.29  6.25  5.30 999 1023.3  -0.2   1.7 999.0 99.0 99.00
2005 04 23 12 00  23 10.3 12.6  2.29  7.14  5.36 999 1023.5  -0.5   1.7 999.0 99.0 99.00
2005 04 23 13 00  22  9.9 12.1  2.08  7.69  5.36 999 1023.6  -0.8   1.7 999.0 99.0 99.00
2005 04 23 14 00  23 10.0 11.5  2.15  7.69  5.27 999 1023.4  -1.0   1.7 999.0 99.0 99.00
2005 04 23 15 00  21  8.5 10.7  1.94  7.69  5.27 999 1023.7  -0.8   1.8 999.0 99.0 99.00
2005 04 23 16 00  16  6.1  7.4  1.87  7.69  5.30 999 1023.9  -0.5   1.8 999.0 99.0 99.00
