YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 05 02 04 00 129  7.0  7.9  0.84  4.00  3.73 999 1018.5   6.3   2.7 999.0 99.0 99.00
2006 05 02 05 00 142  5.7  6.3  0.69  4.55  3.81 999 1018.1   5.7   2.7 999.0 99.0 99.00
2006 05 02 06 00 128  6.3  6.8  0.66  4.35  3.73 999 1017.8   5.4   2.7 999.0 99.0 99.00
2006 05 02 07 00 130  7.1  7.9  0.65  4.55  3.82 999 1017.1   5.5   2.7 999.0 99.0 99.00
2006 05 02 08 00 128  5.8  6.8  0.59  4.35  3.73 999 1016.4   5.4   2.7 999.0 99.0 99.00
2006 05 02 09 00 127  4.7  5.2  0.61  4.55  3.72 999 1016.2   5.0   2.7 999.0 99.0 99.00
2006 05 02 10 00 132  4.1  4.5  0.58  4.35  3.66 999 1015.9   5.2   2.7 999.0 99.0 99.00
2006 05 02 11 00 136  5.4  6.2  0.56  4.35  3.65 999 1015.4   5.5   2.7 999.0 99.0 99.00
2006 05 02 12 00 126  5.9  6.6  0.55  4.35  3.60 999 1015.5   5.2   2.7 999.0 99.0 99.00
2006 05 02 13 00 129  6.2  7.3  0.51  4.17  3.49 999 1015.4   5.5   2.7 999.0 99.0 99.00
2006 05 02 14 00 129  6.1  7.1  0.46  4.00  3.33 999 1015.7   5.3   2.7 999.0 99.0 99.00
2006 05 02 16 00 129  4.3  4.9  0.43  3.85  3.40 999 1015.4   4.6   2.7 999.0 99.0 99.00
2006 05 02 17 00 119  4.5  4.9  0.41  3.85  3.46 999 1015.4   4.3   2.7 999.0 99.0 99.00
2006 05 02 18 00 108  3.8  4.3  0.41  3.85  3.51 999 1015.2   4.2   2.7 999.0 99.0 99.00
2006 05 02 19 00 109  4.1  4.6  0.35  3.57  3.39 999 1015.0   4.4   2.7 999.0 99.0 99.00
2006 05 02 20 00 105  4.7  5.3  0.32  3.85  3.36 999 1014.6   5.4   2.7 999.0 99.0 99.00
2006 05 02 21 00  93  1.7  1.9  0.29  3.70  3.41 999 1014.3   5.4   2.7 999.0 99.0 99.00
